,Month,DateTime,Day,Day reg,Night reg,L1 reg
0,1.0,2014-08-06,Wed,m6,M6.2,n/a
1,1.0,2014-08-07,Thu,m6,M6.2,n/a
2,1.0,2014-08-08,Fri,m1,M5.2,n/a
3,1.0,2014-08-09,Sat,m1,M5.2,m4
4,1.0,2014-08-10,Sun,m1,M5.2,m4
5,1.0,2014-08-11,Mon,M3.2,m5,n/a
6,1.0,2014-08-12,Tue,M3.2,m5,n/a
7,1.0,2014-08-13,Wed,M3.2,m5,n/a
8,1.0,2014-08-14,Thu,M3.2,m5,n/a
9,1.0,2014-08-15,Fri,M1.2,M2.2,n/a
10,1.0,2014-08-16,Sat,M1.2,M2.2,M4.2
11,1.0,2014-08-17,Sun,M1.2,M2.2,M4.2
12,1.0,2014-08-18,Mon,m3,m1,n/a
13,1.0,2014-08-19,Tue,m3,m1,n/a
14,1.0,2014-08-20,Wed,m3,m1,n/a
15,1.0,2014-08-21,Thu,m3,m1,n/a
16,1.0,2014-08-22,Fri,m2,M3.2,n/a
17,1.0,2014-08-23,Sat,m2,M3.2,m4
18,1.0,2014-08-24,Sun,m2,M3.2,m4
19,1.0,2014-08-25,Mon,M5.2,M1.2,n/a
20,1.0,2014-08-26,Tue,M5.2,M1.2,n/a
21,1.0,2014-08-27,Wed,M5.2,M1.2,n/a
22,1.0,2014-08-28,Thu,M5.2,M1.2,n/a
23,1.0,2014-08-29,Fri,m5,m3,n/a
24,1.0,2014-08-30,Sat,m5,m3,n/a
25,1.0,2014-08-31,Sun,m5,m3,n/a
26,1.0,2014-09-01,Mon,m6,m6,M6.2
27,1.0,2014-09-02,Tue,m6,m6,M6.2
28,2.0,2014-09-03,Wed,m6,M6.2,n/a
29,2.0,2014-09-04,Thu,m6,M6.2,n/a
30,2.0,2014-09-05,Fri,m1,M5.2,n/a
31,2.0,2014-09-06,Sat,m1,M5.2,m4
32,2.0,2014-09-07,Sun,m1,M5.2,m4
33,2.0,2014-09-08,Mon,M3.2,m5,n/a
34,2.0,2014-09-09,Tue,M3.2,m5,n/a
35,2.0,2014-09-10,Wed,M3.2,m5,n/a
36,2.0,2014-09-11,Thu,M3.2,m5,n/a
37,2.0,2014-09-12,Fri,M1.2,M2.2,n/a
38,2.0,2014-09-13,Sat,M1.2,M2.2,M4.2
39,2.0,2014-09-14,Sun,M1.2,M2.2,M4.2
40,2.0,2014-09-15,Mon,m3,m1,n/a
41,2.0,2014-09-16,Tue,m3,m1,n/a
42,2.0,2014-09-17,Wed,m3,m1,n/a
43,2.0,2014-09-18,Thu,m3,m1,n/a
44,2.0,2014-09-19,Fri,m2,M3.2,n/a
45,2.0,2014-09-20,Sat,m2,M3.2,m4
46,2.0,2014-09-21,Sun,m2,M3.2,m4
47,2.0,2014-09-22,Mon,M5.2,M1.2,n/a
48,2.0,2014-09-23,Tue,M5.2,M1.2,n/a
49,2.0,2014-09-24,Wed,M5.2,M1.2,n/a
50,2.0,2014-09-25,Thu,M5.2,M1.2,n/a
51,2.0,2014-09-26,Fri,m5,m3,n/a
52,2.0,2014-09-27,Sat,m5,m3,n/a
53,2.0,2014-09-28,Sun,m5,m3,n/a
54,2.0,2014-09-29,Mon,m6,m6,M6.2
55,2.0,2014-09-30,Tue,m6,m6,M6.2
56,3.0,2014-10-01,Wed,m6,M6.2,n/a
57,3.0,2014-10-02,Thu,m6,M6.2,n/a
58,3.0,2014-10-03,Fri,m1,M5.2,n/a
59,3.0,2014-10-04,Sat,m1,M5.2,m4
60,3.0,2014-10-05,Sun,m1,M5.2,m4
61,3.0,2014-10-06,Mon,M3.2,m5,n/a
62,3.0,2014-10-07,Tue,M3.2,m5,n/a
63,3.0,2014-10-08,Wed,M3.2,m5,n/a
64,3.0,2014-10-09,Thu,M3.2,m5,n/a
65,3.0,2014-10-10,Fri,M1.2,M2.2,n/a
66,3.0,2014-10-11,Sat,M1.2,M2.2,M4.2
67,3.0,2014-10-12,Sun,M1.2,M2.2,M4.2
68,3.0,2014-10-13,Mon,m3,m1,n/a
69,3.0,2014-10-14,Tue,m3,m1,n/a
70,3.0,2014-10-15,Wed,m3,m1,n/a
71,3.0,2014-10-16,Thu,m3,m1,n/a
72,3.0,2014-10-17,Fri,m2,M3.2,n/a
73,3.0,2014-10-18,Sat,m2,M3.2,m4
74,3.0,2014-10-19,Sun,m2,M3.2,m4
75,3.0,2014-10-20,Mon,M5.2,M1.2,n/a
76,3.0,2014-10-21,Tue,M5.2,M1.2,n/a
77,3.0,2014-10-22,Wed,M5.2,M1.2,n/a
78,3.0,2014-10-23,Thu,M5.2,M1.2,n/a
79,3.0,2014-10-24,Fri,m5,m3,n/a
80,3.0,2014-10-25,Sat,m5,m3,n/a
81,3.0,2014-10-26,Sun,m5,m3,n/a
82,3.0,2014-10-27,Mon,m6,m6,M6.2
83,3.0,2014-10-28,Tue,m6,m6,M6.2
84,4.0,2014-10-29,Wed,m6,M6.2,n/a
85,4.0,2014-10-30,Thu,m6,M6.2,n/a
86,4.0,2014-10-31,Fri,m1,M5.2,n/a
87,4.0,2014-11-01,Sat,m1,M5.2,m4
88,4.0,2014-11-02,Sun,m1,M5.2,m4
89,4.0,2014-11-03,Mon,M3.2,m5,n/a
90,4.0,2014-11-04,Tue,M3.2,m5,n/a
91,4.0,2014-11-05,Wed,M3.2,m5,n/a
92,4.0,2014-11-06,Thu,M3.2,m5,n/a
93,4.0,2014-11-07,Fri,M1.2,M2.2,n/a
94,4.0,2014-11-08,Sat,M1.2,M2.2,M4.2
95,4.0,2014-11-09,Sun,M1.2,M2.2,M4.2
96,4.0,2014-11-10,Mon,m3,m1,n/a
97,4.0,2014-11-11,Tue,m3,m1,n/a
98,4.0,2014-11-12,Wed,m3,m1,n/a
99,4.0,2014-11-13,Thu,m3,m1,n/a
100,4.0,2014-11-14,Fri,m2,M3.2,n/a
101,4.0,2014-11-15,Sat,m2,M3.2,m4
102,4.0,2014-11-16,Sun,m2,M3.2,m4
103,4.0,2014-11-17,Mon,M5.2,M1.2,n/a
104,4.0,2014-11-18,Tue,M5.2,M1.2,n/a
105,4.0,2014-11-19,Wed,M5.2,M1.2,n/a
106,4.0,2014-11-20,Thu,M5.2,M1.2,n/a
107,4.0,2014-11-21,Fri,m5,m3,n/a
108,4.0,2014-11-22,Sat,m5,m3,n/a
109,4.0,2014-11-23,Sun,m5,m3,n/a
110,4.0,2014-11-24,Mon,m6,m6,M6.2
111,4.0,2014-11-25,Tue,m6,m6,M6.2
112,5.0,2014-11-26,Wed,m6,M6.2,n/a
113,5.0,2014-11-27,Thu,m6,M6.2,n/a
114,5.0,2014-11-28,Fri,m1,M5.2,n/a
115,5.0,2014-11-29,Sat,m1,M5.2,m4
116,5.0,2014-11-30,Sun,m1,M5.2,m4
117,5.0,2014-12-01,Mon,M3.2,m5,n/a
118,5.0,2014-12-02,Tue,M3.2,m5,n/a
119,5.0,2014-12-03,Wed,M3.2,m5,n/a
120,5.0,2014-12-04,Thu,M3.2,m5,n/a
121,5.0,2014-12-05,Fri,M1.2,M2.2,n/a
122,5.0,2014-12-06,Sat,M1.2,M2.2,M4.2
123,5.0,2014-12-07,Sun,M1.2,M2.2,M4.2
124,5.0,2014-12-08,Mon,m3,m1,n/a
125,5.0,2014-12-09,Tue,m3,m1,n/a
126,5.0,2014-12-10,Wed,m3,m1,n/a
127,5.0,2014-12-11,Thu,m3,m1,n/a
128,5.0,2014-12-12,Fri,m2,M3.2,n/a
129,5.0,2014-12-13,Sat,m2,M3.2,m4
130,5.0,2014-12-14,Sun,m2,M3.2,m4
131,5.0,2014-12-15,Mon,M5.2,M1.2,n/a
132,5.0,2014-12-16,Tue,M5.2,M1.2,n/a
133,5.0,2014-12-17,Wed,M5.2,M1.2,n/a
134,5.0,2014-12-18,Thu,M5.2,M1.2,n/a
135,5.0,2014-12-19,Fri,m5,m3,n/a
136,5.0,2014-12-20,Sat,m5,m3,n/a
137,5.0,2014-12-21,Sun,m5,m3,n/a
138,5.0,2014-12-22,Mon,m6,m6,M6.2
139,5.0,2014-12-23,Tue,m6,m6,M6.2
140,6.0,2014-12-24,Wed,m6,M6.2,n/a
141,6.0,2014-12-25,Thu,m6,M6.2,n/a
142,6.0,2014-12-26,Fri,m1,M5.2,n/a
143,6.0,2014-12-27,Sat,m1,M5.2,m4
144,6.0,2014-12-28,Sun,m1,M5.2,m4
145,6.0,2014-12-29,Mon,M3.2,m5,n/a
146,6.0,2014-12-30,Tue,M3.2,m5,n/a
147,6.0,2014-12-31,Wed,M3.2,m5,n/a
148,6.0,2015-01-01,Thu,M3.2,m5,n/a
149,6.0,2015-01-02,Fri,M1.2,M2.2,n/a
150,6.0,2015-01-03,Sat,M1.2,M2.2,M4.2
151,6.0,2015-01-04,Sun,M1.2,M2.2,M4.2
152,6.0,2015-01-05,Mon,m3,m1,n/a
153,6.0,2015-01-06,Tue,m3,m1,n/a
154,6.0,2015-01-07,Wed,m3,m1,n/a
155,6.0,2015-01-08,Thu,m3,m1,n/a
156,6.0,2015-01-09,Fri,m2,M3.2,n/a
157,6.0,2015-01-10,Sat,m2,M3.2,m4
158,6.0,2015-01-11,Sun,m2,M3.2,m4
159,6.0,2015-01-12,Mon,M5.2,M1.2,n/a
160,6.0,2015-01-13,Tue,M5.2,M1.2,n/a
161,6.0,2015-01-14,Wed,M5.2,M1.2,n/a
162,6.0,2015-01-15,Thu,M5.2,M1.2,n/a
163,6.0,2015-01-16,Fri,m5,m3,n/a
164,6.0,2015-01-17,Sat,m5,m3,n/a
165,6.0,2015-01-18,Sun,m5,m3,n/a
166,6.0,2015-01-19,Mon,m6,m6,M6.2
167,6.0,2015-01-20,Tue,m6,m6,M6.2
168,7.0,2015-01-21,Wed,m6,M6.2,n/a
169,7.0,2015-01-22,Thu,m6,M6.2,n/a
170,7.0,2015-01-23,Fri,m1,M5.2,n/a
171,7.0,2015-01-24,Sat,m1,M5.2,m4
172,7.0,2015-01-25,Sun,m1,M5.2,m4
173,7.0,2015-01-26,Mon,M3.2,m5,n/a
174,7.0,2015-01-27,Tue,M3.2,m5,n/a
175,7.0,2015-01-28,Wed,M3.2,m5,n/a
176,7.0,2015-01-29,Thu,M3.2,m5,n/a
177,7.0,2015-01-30,Fri,M1.2,M2.2,n/a
178,7.0,2015-01-31,Sat,M1.2,M2.2,M4.2
179,7.0,2015-02-01,Sun,M1.2,M2.2,M4.2
180,7.0,2015-02-02,Mon,m3,m1,n/a
181,7.0,2015-02-03,Tue,m3,m1,n/a
182,7.0,2015-02-04,Wed,m3,m1,n/a
183,7.0,2015-02-05,Thu,m3,m1,n/a
184,7.0,2015-02-06,Fri,m2,M3.2,n/a
185,7.0,2015-02-07,Sat,m2,M3.2,m4
186,7.0,2015-02-08,Sun,m2,M3.2,m4
187,7.0,2015-02-09,Mon,M5.2,M1.2,n/a
188,7.0,2015-02-10,Tue,M5.2,M1.2,n/a
189,7.0,2015-02-11,Wed,M5.2,M1.2,n/a
190,7.0,2015-02-12,Thu,M5.2,M1.2,n/a
191,7.0,2015-02-13,Fri,m5,m3,n/a
192,7.0,2015-02-14,Sat,m5,m3,n/a
193,7.0,2015-02-15,Sun,m5,m3,n/a
194,7.0,2015-02-16,Mon,m6,m6,M6.2
195,7.0,2015-02-17,Tue,m6,m6,M6.2
196,8.0,2015-02-18,Wed,m6,M6.2,n/a
197,8.0,2015-02-19,Thu,m6,M6.2,n/a
198,8.0,2015-02-20,Fri,m1,M5.2,n/a
199,8.0,2015-02-21,Sat,m1,M5.2,m4
200,8.0,2015-02-22,Sun,m1,M5.2,m4
201,8.0,2015-02-23,Mon,M3.2,m5,n/a
202,8.0,2015-02-24,Tue,M3.2,m5,n/a
203,8.0,2015-02-25,Wed,M3.2,m5,n/a
204,8.0,2015-02-26,Thu,M3.2,m5,n/a
205,8.0,2015-02-27,Fri,M1.2,M2.2,n/a
206,8.0,2015-02-28,Sat,M1.2,M2.2,M4.2
207,8.0,2015-03-01,Sun,M1.2,M2.2,M4.2
208,8.0,2015-03-02,Mon,m3,m1,n/a
209,8.0,2015-03-03,Tue,m3,m1,n/a
210,8.0,2015-03-04,Wed,m3,m1,n/a
211,8.0,2015-03-05,Thu,m3,m1,n/a
212,8.0,2015-03-06,Fri,m2,M3.2,n/a
213,8.0,2015-03-07,Sat,m2,M3.2,m4
214,8.0,2015-03-08,Sun,m2,M3.2,m4
215,8.0,2015-03-09,Mon,M5.2,M1.2,n/a
216,8.0,2015-03-10,Tue,M5.2,M1.2,n/a
217,8.0,2015-03-11,Wed,M5.2,M1.2,n/a
218,8.0,2015-03-12,Thu,M5.2,M1.2,n/a
219,8.0,2015-03-13,Fri,m5,m3,n/a
220,8.0,2015-03-14,Sat,m5,m3,n/a
221,8.0,2015-03-15,Sun,m5,m3,n/a
222,8.0,2015-03-16,Mon,m6,m6,M6.2
223,8.0,2015-03-17,Tue,m6,m6,M6.2
224,9.0,2015-03-18,Wed,m6,M6.2,n/a
225,9.0,2015-03-19,Thu,m6,M6.2,n/a
226,9.0,2015-03-20,Fri,m1,M5.2,n/a
227,9.0,2015-03-21,Sat,m1,M5.2,m4
228,9.0,2015-03-22,Sun,m1,M5.2,m4
229,9.0,2015-03-23,Mon,M3.2,m5,n/a
230,9.0,2015-03-24,Tue,M3.2,m5,n/a
231,9.0,2015-03-25,Wed,M3.2,m5,n/a
232,9.0,2015-03-26,Thu,M3.2,m5,n/a
233,9.0,2015-03-27,Fri,M1.2,M2.2,n/a
234,9.0,2015-03-28,Sat,M1.2,M2.2,M4.2
235,9.0,2015-03-29,Sun,M1.2,M2.2,M4.2
236,9.0,2015-03-30,Mon,m3,m1,n/a
237,9.0,2015-03-31,Tue,m3,m1,n/a
238,9.0,2015-04-01,Wed,m3,m1,n/a
239,9.0,2015-04-02,Thu,m3,m1,n/a
240,9.0,2015-04-03,Fri,m2,M3.2,n/a
241,9.0,2015-04-04,Sat,m2,M3.2,m4
242,9.0,2015-04-05,Sun,m2,M3.2,m4
243,9.0,2015-04-06,Mon,M5.2,M1.2,n/a
244,9.0,2015-04-07,Tue,M5.2,M1.2,n/a
245,9.0,2015-04-08,Wed,M5.2,M1.2,n/a
246,9.0,2015-04-09,Thu,M5.2,M1.2,n/a
247,9.0,2015-04-10,Fri,m5,m3,n/a
248,9.0,2015-04-11,Sat,m5,m3,n/a
249,9.0,2015-04-12,Sun,m5,m3,n/a
250,9.0,2015-04-13,Mon,m6,m6,M6.2
251,9.0,2015-04-14,Tue,m6,m6,M6.2
252,10.0,2015-04-15,Wed,m6,M6.2,n/a
253,10.0,2015-04-16,Thu,m6,M6.2,n/a
254,10.0,2015-04-17,Fri,m1,M5.2,n/a
255,10.0,2015-04-18,Sat,m1,M5.2,m4
256,10.0,2015-04-19,Sun,m1,M5.2,m4
257,10.0,2015-04-20,Mon,M3.2,m5,n/a
258,10.0,2015-04-21,Tue,M3.2,m5,n/a
259,10.0,2015-04-22,Wed,M3.2,m5,n/a
260,10.0,2015-04-23,Thu,M3.2,m5,n/a
261,10.0,2015-04-24,Fri,M1.2,M2.2,n/a
262,10.0,2015-04-25,Sat,M1.2,M2.2,M4.2
263,10.0,2015-04-26,Sun,M1.2,M2.2,M4.2
264,10.0,2015-04-27,Mon,m3,m1,n/a
265,10.0,2015-04-28,Tue,m3,m1,n/a
266,10.0,2015-04-29,Wed,m3,m1,n/a
267,10.0,2015-04-30,Thu,m3,m1,n/a
268,10.0,2015-05-01,Fri,m2,M3.2,n/a
269,10.0,2015-05-02,Sat,m2,M3.2,m4
270,10.0,2015-05-03,Sun,m2,M3.2,m4
271,10.0,2015-05-04,Mon,M5.2,M1.2,n/a
272,10.0,2015-05-05,Tue,M5.2,M1.2,n/a
273,10.0,2015-05-06,Wed,M5.2,M1.2,n/a
274,10.0,2015-05-07,Thu,M5.2,M1.2,n/a
275,10.0,2015-05-08,Fri,m5,m3,n/a
276,10.0,2015-05-09,Sat,m5,m3,n/a
277,10.0,2015-05-10,Sun,m5,m3,n/a
278,10.0,2015-05-11,Mon,m6,m6,M6.2
279,10.0,2015-05-12,Tue,m6,m6,M6.2
280,11.0,2015-05-13,Wed,m6,M6.2,n/a
281,11.0,2015-05-14,Thu,m6,M6.2,n/a
282,11.0,2015-05-15,Fri,m1,M5.2,n/a
283,11.0,2015-05-16,Sat,m1,M5.2,m4
284,11.0,2015-05-17,Sun,m1,M5.2,m4
285,11.0,2015-05-18,Mon,M3.2,m5,n/a
286,11.0,2015-05-19,Tue,M3.2,m5,n/a
287,11.0,2015-05-20,Wed,M3.2,m5,n/a
288,11.0,2015-05-21,Thu,M3.2,m5,n/a
289,11.0,2015-05-22,Fri,M1.2,M2.2,n/a
290,11.0,2015-05-23,Sat,M1.2,M2.2,M4.2
291,11.0,2015-05-24,Sun,M1.2,M2.2,M4.2
292,11.0,2015-05-25,Mon,m3,m1,n/a
293,11.0,2015-05-26,Tue,m3,m1,n/a
294,11.0,2015-05-27,Wed,m3,m1,n/a
295,11.0,2015-05-28,Thu,m3,m1,n/a
296,11.0,2015-05-29,Fri,m2,M3.2,n/a
297,11.0,2015-05-30,Sat,m2,M3.2,m4
298,11.0,2015-05-31,Sun,m2,M3.2,m4
299,11.0,2015-06-01,Mon,M5.2,M1.2,n/a
300,11.0,2015-06-02,Tue,M5.2,M1.2,n/a
301,11.0,2015-06-03,Wed,M5.2,M1.2,n/a
302,11.0,2015-06-04,Thu,M5.2,M1.2,n/a
303,11.0,2015-06-05,Fri,m5,m3,n/a
304,11.0,2015-06-06,Sat,m5,m3,n/a
305,11.0,2015-06-07,Sun,m5,m3,n/a
306,11.0,2015-06-08,Mon,m6,m6,M6.2
307,11.0,2015-06-09,Tue,m6,m6,M6.2
308,12.0,2015-06-10,Wed,m6,M6.2,n/a
309,12.0,2015-06-11,Thu,m6,M6.2,n/a
310,12.0,2015-06-12,Fri,m1,M5.2,n/a
311,12.0,2015-06-13,Sat,m1,M5.2,m4
312,12.0,2015-06-14,Sun,m1,M5.2,m4
313,12.0,2015-06-15,Mon,M3.2,m5,n/a
314,12.0,2015-06-16,Tue,M3.2,m5,n/a
315,12.0,2015-06-17,Wed,M3.2,m5,n/a
316,12.0,2015-06-18,Thu,M3.2,m5,n/a
317,12.0,2015-06-19,Fri,M1.2,M2.2,n/a
318,12.0,2015-06-20,Sat,M1.2,M2.2,M4.2
319,12.0,2015-06-21,Sun,M1.2,M2.2,M4.2
320,12.0,2015-06-22,Mon,m3,m1,n/a
321,12.0,2015-06-23,Tue,m3,m1,n/a
322,12.0,2015-06-24,Wed,m3,m1,n/a
323,12.0,2015-06-25,Thu,m3,m1,n/a
324,12.0,2015-06-26,Fri,m2,M3.2,n/a
325,12.0,2015-06-27,Sat,m2,M3.2,m4
326,12.0,2015-06-28,Sun,m2,M3.2,m4
327,12.0,2015-06-29,Mon,M5.2,M1.2,n/a
328,12.0,2015-06-30,Tue,M5.2,M1.2,n/a
329,12.0,2015-07-01,Wed,M5.2,M1.2,n/a
330,12.0,2015-07-02,Thu,M5.2,M1.2,n/a
331,12.0,2015-07-03,Fri,m5,m3,n/a
332,12.0,2015-07-04,Sat,m5,m3,n/a
333,12.0,2015-07-05,Sun,m5,m3,n/a
334,12.0,2015-07-06,Mon,m6,m6,M6.2
335,12.0,2015-07-07,Tue,m6,m6,M6.2
336,13.0,2015-07-08,Wed,m6,M6.2,n/a
337,13.0,2015-07-09,Thu,m6,M6.2,n/a
338,13.0,2015-07-10,Fri,m1,M5.2,n/a
339,13.0,2015-07-11,Sat,m1,M5.2,m4
340,13.0,2015-07-12,Sun,m1,M5.2,m4
341,13.0,2015-07-13,Mon,M3.2,m5,n/a
342,13.0,2015-07-14,Tue,M3.2,m5,n/a
343,13.0,2015-07-15,Wed,M3.2,m5,n/a
344,13.0,2015-07-16,Thu,M3.2,m5,n/a
345,13.0,2015-07-17,Fri,M1.2,M2.2,n/a
346,13.0,2015-07-18,Sat,M1.2,M2.2,M4.2
347,13.0,2015-07-19,Sun,M1.2,M2.2,M4.2
348,13.0,2015-07-20,Mon,m3,m1,n/a
349,13.0,2015-07-21,Tue,m3,m1,n/a
350,13.0,2015-07-22,Wed,m3,m1,n/a
351,13.0,2015-07-23,Thu,m3,m1,n/a
352,13.0,2015-07-24,Fri,m2,M3.2,n/a
353,13.0,2015-07-25,Sat,m2,M3.2,m4
354,13.0,2015-07-26,Sun,m2,M3.2,m4
355,13.0,2015-07-27,Mon,M5.2,M1.2,n/a
356,13.0,2015-07-28,Tue,M5.2,M1.2,n/a
357,13.0,2015-07-29,Wed,M5.2,M1.2,n/a
358,13.0,2015-07-30,Thu,M5.2,M1.2,n/a
359,13.0,2015-07-31,Fri,m5,m3,n/a
360,13.0,2015-08-01,Sat,m5,m3,n/a
361,13.0,2015-08-02,Sun,m5,m3,n/a
362,13.0,2015-08-03,Mon,m6,m6,M6.2
363,13.0,2015-08-04,Tue,m6,m6,M6.2
